State,County,Area (sqmi)
Colorado,Saguache County,3168.32
Colorado,San Juan County,388.99
Colorado,San Miguel County,1290.76
Colorado,Sedgwick County,548.83
Colorado,Summit County,618.92
Colorado,Teller County,558.58
Colorado,Washington County,2522.9
Colorado,Weld County,4013.84
Colorado,Yuma County,2369.61
Connecticut,Fairfield County,626.0
Connecticut,Hartford County,736.0
Connecticut,Litchfield County,920.0
Connecticut,Middlesex County,369.0
Connecticut,New Haven County,606.0
Connecticut,New London County,666.0
Connecticut,Tolland County,410.0
Connecticut,Windham County,513.0
Delaware,Kent County,800.0
Delaware,New Castle County,494.0
Delaware,Sussex County,1196.0
District of Columbia,District of Columbia,61.05
Florida,Alachua County,874.0
Florida,Baker County,585.0
Florida,Bay County,764.0
Florida,Bradford County,293.0
Florida,Brevard County,1018.0
Florida,Broward County,1209.0
Florida,Calhoun County,567.0
Florida,Charlotte County,694.0
Florida,Citrus County,584.0
Florida,Clay County,601.0
Florida,Collier County,2026.0
Florida,Columbia County,797.0
Florida,DeSoto County,637.0
Florida,Dixie County,704.0
Florida,Duval County,774.0
Florida,Escambia County,664.0
Florida,Flagler County,485.0
Florida,Franklin County,534.0
Florida,Gadsden County,516.0
Florida,Gilchrist County,349.0
Florida,Glades County,774.0
Florida,Gulf County,565.0
Florida,Hamilton County,515.0
Florida,Hardee County,637.0
Florida,Hendry County,1153.0
Florida,Hernando County,478.0
Florida,Highlands County,1028.0
Florida,Hillsborough County,1051.0
Florida,Holmes County,482.0
Florida,Indian River County,503.0
Florida,Jackson County,916.0
Florida,Jefferson County,598.0
Florida,Lafayette County,543.0
Florida,Lake County,953.0
Florida,Lee County,804.0
Florida,Leon County,667.0
Florida,Levy County,1118.0
Florida,Liberty County,836.0
Florida,Madison County,692.0
Florida,Manatee County,741.0
Florida,Marion County,1579.0
Florida,Martin County,556.0
Florida,Miami-Dade County,1946.0
Florida,Monroe County,997.0
Florida,Nassau County,652.0
Florida,Okaloosa County,936.0
Florida,Okeechobee County,774.0
Florida,Orange County,908.0
Florida,Osceola County,1322.0
Florida,Palm Beach County,2034.0
Florida,Pasco County,745.0
Florida,Pinellas County,280.0
Florida,Polk County,1875.0
Florida,Putnam County,722.0
Florida,St. Johns County,609.0
Florida,St. Lucie County,572.0
Florida,Santa Rosa County,1016.0
Florida,Sarasota County,572.0
Florida,Seminole County,308.0
Florida,Sumter County,546.0
Florida,Suwannee County,688.0
Florida,Taylor County,1042.0
Florida,Union County,240.0
Florida,Volusia County,1106.0
Florida,Wakulla County,607.0
Florida,Walton County,1058.0
Florida,Washington County,580.0
Georgia_(U.S._state),Appling County,509.0
Georgia_(U.S._state),Atkinson County,338.0
Georgia_(U.S._state),Bacon County,285.0
Georgia_(U.S._state),Baker County,343.0
Georgia_(U.S._state),Baldwin County,258.0
Georgia_(U.S._state),Banks County,234.0
Georgia_(U.S._state),Barrow County,162.0
Georgia_(U.S._state),Bartow County,460.0
Georgia_(U.S._state),Ben Hill County,252.0
Georgia_(U.S._state),Berrien County,452.0
Georgia_(U.S._state),Bibb County,250.0
Georgia_(U.S._state),Bleckley County,217.0
Georgia_(U.S._state),Brantley County,444.0
Georgia_(U.S._state),Brooks County,494.0
Georgia_(U.S._state),Bryan County,442.0
Georgia_(U.S._state),Bulloch County,683.0
Georgia_(U.S._state),Burke County,831.0
Georgia_(U.S._state),Butts County,187.0
Georgia_(U.S._state),Calhoun County,280.0
Georgia_(U.S._state),Camden County,630.0
Georgia_(U.S._state),Candler County,247.0
Georgia_(U.S._state),Carroll County,499.0
Georgia_(U.S._state),Catoosa County,162.0
Georgia_(U.S._state),Charlton County,781.0
Georgia_(U.S._state),Chatham County,440.0
Georgia_(U.S._state),Chattahoochee County,249.0
Georgia_(U.S._state),Chattooga County,314.0
Georgia_(U.S._state),Cherokee County,424.0
Georgia_(U.S._state),Clarke County,121.0
Georgia_(U.S._state),Clay County,195.0
Georgia_(U.S._state),Clayton County,143.0
Georgia_(U.S._state),Clinch County,809.0
Georgia_(U.S._state),Cobb County,340.0
Georgia_(U.S._state),Coffee County,599.0
Georgia_(U.S._state),Colquitt County,552.0
Georgia_(U.S._state),Columbia County,290.0
Georgia_(U.S._state),Cook County,229.0
Georgia_(U.S._state),Coweta County,443.0
Georgia_(U.S._state),Crawford County,325.0
Georgia_(U.S._state),Crisp County,274.0
Georgia_(U.S._state),Dade County,174.0
Georgia_(U.S._state),Dawson County,211.0
Georgia_(U.S._state),Decatur County,597.0
Georgia_(U.S._state),DeKalb County,268.0
Georgia_(U.S._state),Dodge County,501.0
Georgia_(U.S._state),Dooly County,393.0
Georgia_(U.S._state),Dougherty County,330.0
Georgia_(U.S._state),Douglas County,199.0
Georgia_(U.S._state),Early County,511.0
Georgia_(U.S._state),Echols County,404.0
Georgia_(U.S._state),Effingham County,480.0
Georgia_(U.S._state),Elbert County,369.0
Georgia_(U.S._state),Emanuel County,686.0
Georgia_(U.S._state),Evans County,185.0
Georgia_(U.S._state),Fannin County,386.0
Georgia_(U.S._state),Fayette County,197.0
Georgia_(U.S._state),Floyd County,513.0
Georgia_(U.S._state),Forsyth County,226.0
Georgia_(U.S._state),Franklin County,263.0
Georgia_(U.S._state),Fulton County,529.0
Georgia_(U.S._state),Gilmer County,427.0
Georgia_(U.S._state),Glascock County,144.0
Georgia_(U.S._state),Glynn County,422.0
Georgia_(U.S._state),Gordon County,355.0
Georgia_(U.S._state),Grady County,458.0
Georgia_(U.S._state),Greene County,388.0
Georgia_(U.S._state),Gwinnett County,433.0
Georgia_(U.S._state),Habersham County,278.0
Georgia_(U.S._state),Hall County,394.0
Georgia_(U.S._state),Hancock County,473.0
Georgia_(U.S._state),Haralson County,282.0
Georgia_(U.S._state),Harris County,464.0
Georgia_(U.S._state),Hart County,232.0
Georgia_(U.S._state),Heard County,296.0
Georgia_(U.S._state),Henry County,323.0
Georgia_(U.S._state),Houston County,377.0
Georgia_(U.S._state),Irwin County,357.0
Georgia_(U.S._state),Jackson County,342.0
Georgia_(U.S._state),Jasper County,370.0
