FIPS,Lat,Long_
8029.0,38.86246243,-107.8631342
8031.0,39.76018276,-104.8725695
8033.0,37.75208676,-108.5211585
8035.0,39.33133796,-104.930001
8037.0,39.62754308,-106.6933637
8039.0,39.28656773,-104.1358721
8041.0,38.83240149,-104.5251411
8043.0,38.47362326,-105.4399667
8045.0,39.59921777,-107.902708
8047.0,39.85646523,-105.5252597
8049.0,40.10603347,-106.1178042
8051.0,38.66611652,-107.0320729
8053.0,37.82247444,-107.3004345
8055.0,37.68473101,-104.9612585
8057.0,40.66593870000001,-106.3408905
8059.0,39.58635604,-105.2517692
8061.0,38.43260896,-102.7392145
8063.0,39.30497777,-102.6022199
8065.0,39.20278823,-106.3555697
8067.0,37.28632032,-107.8429014
8069.0,40.66671597,-105.4625784
8071.0,37.3153406,-104.0376458
8073.0,38.98749519,-103.5136649
8075.0,40.7249637,-103.110817
8077.0,39.01787888,-108.469799
8079.0,37.66954283,-106.9281698
8081.0,40.61810999,-108.2070876
8083.0,37.33859579,-108.5958857
8085.0,38.40214114,-108.26390220000002
8087.0,40.26279810000001,-103.8093302
8089.0,37.9014485,-103.7173385
8091.0,38.14717457,-107.7675136
8093.0,39.120926,-105.7182065
8095.0,40.59414277,-102.3577703
8097.0,39.21720112,-106.9310027
8099.0,37.95544985,-102.3926052
8101.0,38.17359144,-104.5127437
8103.0,39.97913541,-108.2179009
8105.0,37.5836865,-106.3847838
8107.0,40.48596505,-106.9905548
8109.0,38.08054629,-106.282466
8111.0,37.76248981,-107.67632890000002
8113.0,38.00450883,-108.4020725
8115.0,40.87595412,-102.3519227
8117.0,39.63803232,-106.1150762
8119.0,38.88133511,-105.1614893
8121.0,39.97015535,-103.202587
8123.0,40.55499405,-104.3929621
8125.0,40.00346839,-102.4258673
9001.0,41.26809896,-73.3881171
9003.0,41.80283011,-72.73103891
9005.0,41.7937534,-73.2451475
9007.0,41.45949668,-72.53714864
9009.0,41.4080325,-72.93620426
9011.0,41.48896435,-72.10430976
9013.0,41.85853803,-72.3308481
9015.0,41.82972709,-71.98182316
10001.0,39.08646628,-75.56884914
10003.0,39.57992638,-75.64054974
10005.0,38.66143781,-75.39031349
11001.0,38.90417773,-77.01655992
12001.0,29.67866525,-82.35928158
12003.0,30.33060121,-82.28467476
12005.0,30.26548745,-85.62122584
12007.0,29.95079741,-82.16611613
12009.0,28.29409504,-80.73091022
12011.0,26.15184651,-80.48725556
12013.0,30.40666734,-85.19394153
12015.0,26.90131002,-81.92949121
12017.0,28.84804315,-82.47614748
12019.0,29.98319144,-81.85609986
12021.0,26.11091986,-81.34687065
12023.0,30.22509788,-82.62160164
12027.0,27.18677893,-81.80941373
12029.0,29.60631086,-83.15724673
12031.0,30.33225875,-81.66976468
12033.0,30.67652764,-87.37284571
12035.0,29.45933576,-81.31508595
12037.0,29.83791238,-84.82731662
12039.0,30.57796289,-84.61915825
12041.0,29.72856978,-82.79880657
12043.0,26.95635849,-81.18996211
12045.0,29.93543004,-85.24270990000002
12047.0,30.49673973,-82.94998918
12049.0,27.49293939,-81.80956574
12051.0,26.55386945,-81.16469006
12053.0,28.55364461,-82.42700204
12055.0,27.34254618,-81.34071957
12057.0,27.9276559,-82.32013172
12059.0,30.86747479,-85.81319222
12061.0,27.69308961,-80.60556721
12063.0,30.7954597,-85.21500423
12065.0,30.43669112,-83.89442308
12067.0,29.98484137,-83.18166636
12069.0,28.76202069,-81.7125123
12071.0,26.58410348,-81.88399313
12073.0,30.45955727,-84.27491114
12075.0,29.31829741,-82.74007147
12077.0,30.23766008,-84.8829258
12079.0,30.44396917,-83.47398594
12081.0,27.47196942,-82.31831044
12083.0,29.21227113,-82.05803627
12085.0,27.0772071,-80.43109784
12086.0,25.6112362,-80.55170587
12087.0,25.20904673,-81.07812416
12089.0,30.61037141,-81.80297522
12091.0,30.69143028,-86.59267105
12093.0,27.386336199999995,-80.88944347
12095.0,28.51367621,-81.31799498
12097.0,28.06312234,-81.14882926
12099.0,26.64676272,-80.46536002
12101.0,28.30810945,-82.40227529
12103.0,27.93130349,-82.72239666
12105.0,27.95027105,-81.69732947
12107.0,29.60779729,-81.74230285
12109.0,29.90096506,-81.43589967
